CPR (Cardio-pulmonary Resuscitation) | RKO (resuscytacja krążeniowo-oddechowa)
Defibrillator | defibrylator
Epilepsy | padaczka
Fit | drgawki / napad
Lie on the left side | połóż się na lewym boku
Lie flat on back | połóż się płasko na plecach
Admissions desk | izba przyjęć / recepcja
Seizure | drgawki
Turning blue | sinienie / sinica
Tilt the head back | odchyl głowę do tyłu
Abdominal discomfort | dyskomfort w jamie brzusznej
Abscess | ropień
Acute pain | ostry ból
Admissions | izba przyjęć / przyjęcia
Adrenaline | adrenalina
Adverse reaction | działanie niepożądane
Advice nurse | pielęgniarka konsultacyjna
Allergen | alergen
Allergic reaction | reakcja alergiczna
Allergy | alergia
Anaesthesia | znieczulenie
Anaesthesiologist | anestezjolog
Anaesthesiology | anestezjologia
Antibacterial | przeciwbakteryjny
Antibiotic | antybiotyk
Antibodies | przeciwciała
Anticoagulant | lek przeciwzakrzepowy
Antidote | odtrutka
Anti-fungal | przeciwgrzybiczy
Antihistamine | leki przeciwhistaminowe
Anti-inflammatory | przeciwzapalny
Antiseptic | środek antyseptyczny
Appendectomy | appendektomia
Appendicitis | zapalenie wyrostka robaczkowego
Asphyxia | asfiksja
Aspirin | aspiryna
Asthma | astma
Asthmatic | astmatyk
Athlete’s foot | grzybica stóp
Attending physician | lekarz prowadzący
Bacteria | bakterie
Bacterial infection | zakażenie bakteryjne
Bandage | opatrunek / bandaż
Band-aid | plaster
Bee venom | jad pszczeli
Billing’s method | metoda Billingsa
Birthday | data urodzenia / urodziny
Blister | pęcherz
Blood | krew
Blood bank | bank krwi
Blood clot | skrzep
Blood pressure | ciśnienie krwi
Body ache | ból całego ciała
Bone splint | szyna kostna
Breath | oddech
Breathe deeply | oddychać głęboko
Breathing problems | problemy z oddychaniem
Bruise | siniak
Burning sensation | pieczenie
Cast | gips
Chest discomfort/tightness | dyskomfort / ucisk w klatce piersiowej
Choke | krztusić się
Chronic | przewlekły
Circulatory | krążeniowy
Cold | przeziębienie / zimno
Colonoscopy | kolonoskopia
Compress | kompres
Congested | zatkany / przekrwiony
Consent | zgoda
Constipated | zaparcia
Cotton balls/pads | waciki / płatki kosmetyczne
Cough | kaszel
Cough medicine / cough syrup | syrop na kaszel
Coughing | kaszel
Crutch | kula
D&C (Dilatation & Curettage) | łyżeczkowanie macicy
Decongestant | lek obkurczający błonę śluzową
Diabetes | cukrzyca
Diagnose | zdiagnozować
Diagnosis | rozpoznanie
Disable | unieruchomić / niepełnosprawność
Discomfort | dyskomfort
Dislocated | zwichnięty
Dizziness | zawroty głowy
Doctor’s office | gabinet lekarski
Dressing | opatrunek
Drop | kropla
Drowsiness | senność
Drugstore | apteka
Dull pain | tępy ból
Ear ache | ból ucha
Ear lobe | płatek ucha
Ear tube | dren do ucha
Ear wax | woskowina
Emergency room (ER) | szpitalny oddział ratunkowy
Emphysema | rozedma płuc
Endoscopy | endoskopia
Enema | lewatywa
Epidural | znieczulenie zewnątrzoponowe
Eye drops | krople do oczu
Family history | wywiad rodzinny
Fasting | na czczo
Faeces | kał
Fever | gorączka
Fever blister | opryszczka wargowa
Flu | grypa
Food allergy | alergia pokarmowa
Fractured | złamany
Front desk | recepcja
Gauze | gaza
General practitioner | lekarz rodzinny
Glucose tests | badania glukozy
Gnawing pain | dokuczliwy ból
Gown / hospital gown | koszula szpitalna
Gynaecologist | ginekolog
Hacking cough | suchy męczący kaszel
Hay fever | katar sienny
Headache | ból głowy
Health | zdrowie
Heart attack | zawał serca
Heart murmur | szmer serca
Heavy lifting | dźwiganie ciężarów
Height | wzrost
Hernia | przepuklina
High blood pressure | nadciśnienie tętnicze
Hives | pokrzywka
Hoarse | ochrypły
Hospital gown | koszula szpitalna
Household chemicals | środki chemiczne domowe
Hurt | boleć / rana
Hypersensitivity | nadwrażliwość
Immunoglobulin E (IGE) | immunoglobulina E
Infection | zakażenie
Inflammation | stan zapalny
Inhaler | inhalator
Inpatient | pacjent hospitalizowany
Insulin | insulina
Intensive care unit | oddział intensywnej terapii
Irregular pulse | niemiarowe tętno
Itch | swędzenie
Itching | swędzenie
Joint | staw
Laparoscopy | laparoskopia
Laser surgery | operacja laserowa
Ligament | więzadło
Lower back pain | ból lędźwi
Lump | guzek
Maternity ward | oddział położniczy
Medical excuse | zwolnienie lekarskie
Medical history | wywiad lekarski
Medicated compress | kompres z lekiem
Medication | lek
Middle ear infection | zapalenie ucha środkowego
Mold | pleśń
Nasal spray | aerozol do nosa
Nauseating pain | ból z mdłościami
Nostril | nozdrze
Numbing pain | ból z drętwieniem
Nurse | pielęgniarka
Nursery | oddział noworodkowy
Nurses’ station | dyżurka pielęgniarek
Operate, to | operować
Operating room (OR) | sala operacyjna
Operation | operacja
Outpatient | pacjent ambulatoryjny
Over-the-counter medication | lek bez recepty
Oxygen | tlen
Pain | ból
Pass out | zemdleć
Penicillin | penicylina
Physical exam | badanie fizykalne
Pills | tabletki
Plugged ear | zatkane ucho
Pollen allergy | alergia na pyłki
Prescription | recepta
Pressure | ciśnienie
Private room | sala jednoosobowa
Pulse | tętno
Radiology | radiologia
Rashe(s) | wysypka
Recovery room | sala wybudzeń
Redness | zaczerwienienie
Rest | odpoczynek
Rheumatic fever | gorączka reumatyczna
Scab | strup
Scar | blizna
Scratch | zadrapanie
Scrub, to (surgically) | myć się chirurgicznie
Sexually transmitted disease | choroba przenoszona drogą płciową
Sharp pain | ostry ból
Shiver | dreszcz
Shortness of breath | duszność
Sinus infection | zapalenie zatok
Sleepy | senny
Sling | temblak
Sore, cold | obolały / przeziębienie
Sprain | skręcenie
Stethoscope | stetoskop
Stitches | szwy
Stomach flu | grypa żołądkowa
Strain | naciągnięcie
Strenuous activity | wytężony wysiłek
