CPR (Cardio-pulmonary Resuscitation) | الإنعاش القلبي الرئوي
Defibrillator | مزيل الرجفان
Epilepsy | الصرع
Fit | نوبة / تشنج
Lie on the left side | استلقِ على الجانب الأيسر
Lie flat on back | استلقِ على الظهر مستوياً
Admissions desk | مكتب القبول / الاستقبال
Seizure | نوبة / تشنج
Turning blue | ازرقاق / تحول إلى اللون الأزرق
Tilt the head back | أَمِل الرأس إلى الخلف
Abdominal discomfort | انزعاج / ألم بطني
Abscess | خراج
Acute pain | ألم حاد
Admissions | القبول / الدخول
Adrenaline | أدرينالين
Adverse reaction | رد فعل عكسي
Advice nurse | ممرضة إرشاد
Allergen | مادة مسببة للحساسية
Allergic reaction | رد فعل تحسسي
Allergy | حساسية
Anaesthesia | تخدير
Anaesthesiologist | طبيب تخدير
Anaesthesiology | علم التخدير
Antibacterial | مضاد للبكتيريا
Antibiotic | مضاد حيوي
Antibodies | أجسام مضادة
Anticoagulant | مضاد تخثر
Antidote | ترياق / مضاد سم
Anti-fungal | مضاد للفطريات
Antihistamine | مضاد الهيستامين
Anti-inflammatory | مضاد للالتهاب
Antiseptic | مطهر
Appendectomy | استئصال الزائدة الدودية
Appendicitis | التهاب الزائدة الدودية
Asphyxia | اختناق
Aspirin | أسبرين
Asthma | ربو
Asthmatic | مصاب بالربو
Athlete’s foot | قدم الرياضي / فطريات القدم
Attending physician | الطبيب المعالج
Bacteria | بكتيريا
Bacterial infection | عدوى بكتيرية
Bandage | ضمادة
Band-aid | لاصق طبي
Bee venom | سم النحل
Billing’s method | طريقة بيلينغ
Birthday | تاريخ الميلاد / عيد ميلاد
Blister | نفطة / بثرة
Blood | دم
Blood bank | بنك الدم
Blood clot | جلطة دموية
Blood pressure | ضغط الدم
Body ache | ألم في الجسم
Bone splint | جبيرة عظمية
Breath | نفس
Breathe deeply | تنفس بعمق
Breathing problems | مشاكل التنفس
Bruise | كدمة
Burning sensation | إحساس حارق / حرقة
Cast | جبيرة / قالب
Chest discomfort/tightness | انزعاج / ضيق الصدر
Choke | اختناق / غص
Chronic | مزمن
Circulatory | دوري / دموي
Cold | برد / زكام
Colonoscopy | تنظير القولون
Compress | كمادة
Congested | محتقن / مزدحم
Consent | موافقة
Constipated | مصاب بالإمساك
Cotton balls/pads | كرات / وسادات قطنية
Cough | سعال / كحة
Cough medicine / cough syrup | دواء / شراب السعال
Coughing | سعال / كح
Crutch | عكاز
D&C (Dilatation & Curettage) | توسيع وكحت
Decongestant | مزيل الاحتقان
Diabetes | سكري
Diagnose | تشخيص
Diagnosis | تشخيص
Disable | إعاقة / تعطيل
Discomfort | انزعاج / عدم راحة
Dislocated | مخلوع
Dizziness | دوخة
Doctor’s office | عيادة الطبيب
Dressing | ضمادة / تغيير الضمادة
Drop | قطرة
Drowsiness | نعاس
Drugstore | صيدلية
